10508,8753.6,9048.2,12067,7073,13529,8799.4,6685.1,5879.9,10522,0,2948.6,4492.5,13064,11891,9916.3,9491,12058,13308,10737,8860.4,12388,10858,15602,11893,14364,7624.2,4186.3,7525.7,16444,7285.3,4871.3,4480.4,13295,3877.9,9544,17966,6622.6,7253.3,13909,16493,6488.1,11703,10607,12166,18952,14764,11736,12380,6500,15229,11074,6337.3,10543,8147.3,7462.6,2954.4,975.07,12780,4303.9,7802.6,11669,8072.2,8863.2,11361,13182,9303.7,15729,8290,5459,6145.3,8853.9,13196,15729,2431.3,16501,12188,8628.1,3811
12880,7892,8434.9,14891,9665,13822,6800.3,8516.4,5041.9,10782,2948.6,0,7093.9,10354,9107.8,11566,10538,9153.8,13235,11090,6234.1,15271,13355,15271,10288,11712,5107.3,6944.5,6873.3,13657,6309.7,7651.5,6861.6,11620,3529.7,11481,18995,4039.2,10189,15274,17413,7325.2,9695.1,7876.5,11675,16553,12084,9103.7,9640,7777,15593,11822,9033.2,7636.3,8686.8,10252,529.1,2708.2,10327,7180.5,10503,9494.2,7299.7,6094.1,8790.8,10837,7731.5,12789,10302,7502.1,5950.8,6758.4,12199,12789,5373,17275,10103,8955.7,5141.7
6015.7,12399,7872.1,7809,2596.4,9930.2,13217,2891.3,6518,12365,4492.5,7093.9,0,17442,16170,9878.9,10581,14771,10093,12373,13295,8230.8,8867.2,15489,15727,18805,12091,666.05,7051.8,18905,7394.3,897.41,5333.9,12158,8064.9,9126,13941,11057,4388.6,9595.9,12070,8931.6,15971,14970,9747.4,15188,19154,16184,16722,8351.3,11220,12011,1946.7,13580,10411,3210.6,7281.5,5332.8,13497,1317,3410,16060,11761,11628,15836,13457,13457,17997,4020.9,1769.4,5731.8,13303,11078,17997,2980.9,12109,16478,11007,3054
16312,6461,11500,14779,19454,11534,4738.4,16957,11636,7916.9,13064,10354,17442,0,1288.2,11006,9785.5,3762.5,11113,8047.2,4203.3,14355,12900,6610.1,3707.9,1363.7,5445.5,17250,11731,3380.7,11163,17927,13783,8158.4,9864.4,11820,8640.8,6442.8,16933,12478,10236,10230,2785.2,2480.1,10844,7076.1,1730.3,1352.2,722.03,11051,10693,8762.5,19388,4453.1,9161.5,19293,10190,12322,6054.5,17248,19163,2382.3,6958.5,6306.6,1773,6364.6,4981.2,3134.7,17249,17064,12712,4579.4,9587.6,3134.7,15057,10166,2417.2,8606.8,14735
17128,6315.6,10867,16032,18489,11983,4090.4,16042,10513,8411.5,11891,9107.8,16170,1288.2,0,11617,10212,3217.1,11435,8598.4,3081.8,15628,13863,7827.8,4196.6,2643.4,4346.2,16047,10836,4568.8,10201,16750,13316,8188.3,8975.1,12418,9889.6,5284.4,17221,13275,11254,10015,3074.7,1301.1,10849,8134.2,2990.1,832.95,575.77,10913,11450,9434.2,18112,3485.2,9227.2,19354,8973,11216,5850.5,16175,19412,2562.4,6692.4,5202.7,1192.6,6275.4,4690.7,4046.6,16951,15876,11659,3877.3,9706.8,4046.6,14041,11166,2899.4,8728.9,13473
10007,6182.2,17523,7923.2,9551.6,13828,8956.3,12032,15724,3224.2,9916.3,11566,9878.9,11006,11617,0,1652.8,14756,14618,3019.7,11065,7531.9,2924.3,6175.3,7424.5,10519,10731,9306.6,16904,10691,17041,9040,5542.9,16769,8195.5,813.93,8626.1,11022,5942.2,11680,10861,4359,8546.8,11449,16189,11130,10570,10806,11283,3791.7,12509,2247.9,9179.3,14932,3529.1,8461.1,11099,9400.5,16642,8609.8,8925.4,9065.2,6254,15780,10566,16564,7709.6,12064,11459,11467,15473,9222.3,16184,12064,8364.1,11025,8735.8,3670.4,12496
11631,4530.7,18396,9570.8,10789,15311,7308.4,13109,15318,1877.1,9491,10538,10581,9785.5,10212,1652.8,0,13423,16065,1808.2,9416.9,9168.2,4574.3,6201.2,6092.7,9552.9,9088.6,9944.1,17011,10204,16723,9837.1,5564.6,17086,7026.8,2317.5,9433.4,9430.4,7159,13211,12033,3224.1,7149.5,9897.5,17690,11588,9689.4,9382.8,9949.3,2993.9,13796,1618.1,10286,13370,1993.8,9767.6,10030,8788.3,15794,9264.2,10284,7652.7,4610,14129,9097.5,15965,6078.4,11449,12853,12306,15574,7575.7,17247,11449,8473.1,12186,7408.8,2036.9,12713
14447,9395.6,7750.9,15072,15719,9296.1,6829.3,13201,8258.7,11598,12058,9153.8,14771,3762.5,3217.1,14756,13423,0,8614.6,11761,5033.6,15036,16392,9768.8,7355.9,4476.1,6058.8,15122,8019,5233.5,7521.5,15665,15446,5196.7,10669,15569,10006,6549.9,19157,11089,9945.3,12890,6274.1,3792.7,7749.2,7429.8,4555.7,4049.6,3486,13832,9370.3,12521,16006,1517.8,12369,16811,9285.4,11821,2746.5,15708,16320,5771,9664,3316.5,4368,3262.7,7734.5,3926,13753,13545,9151.1,6568.9,6740.5,3926,14479,9801.4,6037.8,11904,11726
5851.9,17510,4799.7,7020.2,8417.3,802.67,15430,7227.9,8205,15972,13308,13235,10093,11113,11435,14618,16065,8614.6,0,15683,13582,7294.8,11842,10987,14210,10525,14351,10727,6368,8834.1,6931.1,10409,15129,3437.5,16735,14272,7073.1,14310,11289,2965,4178.9,18525,13761,12361,1627.7,5772.3,10191,12173,11374,17580,2358.6,14967,9216.3,9421,18047,8971.3,13762,14237,5897,11192,8377.8,13461,18070,9408.4,12601,5353.6,16081,8212.9,6276.4,8461.9,7451.5,15176,1926,8212.9,13027,4045.7,13283,17840,9508
12819,3756.6,19337,10412,12521,15116,6318.9,14905,16131,335.17,10737,11090,12373,8047.2,8598.4,3019.7,1808.2,11761,15683,0,8364.9,9928.7,5642,4864.8,4409.5,7748.4,8349.5,11729,17957,8453.8,17304,11643,7232.2,15422,7612.3,3821.2,8615.8,8950,8885.7,13341,11518,4249.6,5527.2,8481.4,17103,10318,7881.2,7786.7,8276.6,4382.6,13337,1023.7,12065,11947,2596.8,11458,10561,9906.4,13998,11056,11938,6046,4112.4,13104,7554.5,14156,4993.7,9659.8,14478,14110,16846,6563,16061,9659.8,10101,11645,5725.1,2180.2,14280
